
1
milono
milya
milésimo de milionésimo
miriada
miriado
miríada
miríade
myriad
myriade
mɔɔsíi
naŭiliono
ncᾱʼ
ngoÊ¼ É¨Ì€kwo
nkÃ¢mi
nonilijonas
nonilion
nonilión
nonillion
nonillón
nshʉʼ
nyiiÌ€ ndÉ›lÉ›
nèf
octillion
octillón
okiliono
oktilijonas
oktilión
oktiljon
oktillion
oktylion
one and a half
one thousand
onz
pa
panonono
pɔ́g
quadrilione
quadriliuni
quadrillion
quadrillionth
quintilione
quintiliuni
quintillion
quintillón
quqol
san
sechzehn
seize
sekstiljon
sekstiljons
sekstiljoona
sekstillion
sekstilyon
senk
senkant
septillion
sesiliono
setyèm
sextilion
sextilión
sextiljon
sextillion
sextillón
shaÊ¼aÌ
sis
sixteen
swasant
szextillió
sèt
sèz
thousandth
trant
tredecillón
triiliono
trilijon
trilijonas
trilijun
trilioi
trilion
trilione
trilioni
triliontina
triliun
triliuni
triliwn
trilió
trilión
triljoen
triljon
triljons
triljoona
trillion
trillionth
trillió
trilljón
trillón
trilyon
trylion
trèz
twa
tɔ́ɔsin
u
un
un centesimo
undecillion
unu
unus
ven
wan
wit
yad”ë
yaÉ™Ì‚ muÊ¼
yimo
yá
yüzde bir
Üks
Þúsund
١
۱
߁
१
১
੧
૧
୧
౧
೧
๑
໑
༡
၁
႑
១
᱑
一
万
京
億
兆
澗
秭
萬
꯱
조
𥝱
京 (數)
澗 (數)
京 (數字單位)
Ɗaya
Цо
اک
एक
ሓደ
十億
구골
ሓደ ሺሕ
Акы
дзё
ارب
አንድ
ᐯᔭᒄ
古高尔
古高爾
矜羯羅
阿僧祇
아승기
গুগ'ল
Биир
Зқьы
Цава
מאית
רבבה
هزار
١٠٠٠
کھرب
ہزار
۱۰۰۰
߁߀߀߀
१०००
গুগল
১০০০
੧੦੦੦
૧૦૦૦
୧୦୦୦
వందవ
౧౦౦౦
೧೦೦೦
൧൦൦൦
๑๐๐๐
໑໐໐໐
༡༠༠༠
၁၀၀၀
႑႐႐႐
ართი
ერთი
១០០០
᱑᱐᱐᱐
グーゴル
不可思議
无量大数
無量大数
無量大數
꯱꯰꯰꯰
무량대수
불가사의
센틸리온
अब्ज (Billion)
Тӱжем
Цхьаъ
гугал
гугол
сотая
גוגאל
גוגול
جوجول
مليار
ڭوڭول
گوگول
گوگُل
गुगोल
ગૂગોલ
கூகல்
ഗൂഗോൾ
กูกอล
ミリアッド
Азарва
билион
тысяча
գուգոլ
بیلیون
گووگۆل
ಗೂಗಾಲ್
อสงไขย
Мирјада
Мірыяда
биллион
більйон
мириада
полтора
стотина
трилион
трыльён
Տրիլիոն
تريليون
تریلیون
ߜ߭ߎߜ߭ߏߟ
বিলিয়ন
நூறாவது
มีเรียด
ထရီလီယံ
センティリオン
不可説不可説転
불가설불가설전
γκούγκολ
триллион
трильйон
тысячная
מיליונית
سكستليون
ट्रिलियन
асанкхейя
дециллион
нониллион
октиллион
سکستیلیون
كوينتليون
ট্রিলিয়ন
பில்லியன்
ಟ್ರಿಲಿಯನ್
Квинтилион
биллионная
квадрилион
квадрыльён
миллионная
септиллион
центиллион
центильйон
Սեքստիլիոն
Քվինտիլիոն
كوادريليون
کوآدریلیون
کوینتیلیون
Квадриллион
додециллион
квадриллион
квадрильйон
квинтиллион
квінтильйон
неизмеримое
секстиллион
секстильйон
триллионная
ундециллион
სექსტილიონი
тредециллион
ట్రిల్లియన్లు
квадриллионная
τρισεκατομμύριο
